cod_ibge,an_referencia,total
3100104,,535302594.69999975
3100203,,4509858192.03
3100302,,2303998435.259994
3100401,,1540272894.3800006
3100500,,2244790866.0800004
3100609,,2184632832.64
3100708,,1637626130.6199994
3100807,,2534212279.1000023
3100906,,2944747224.6999984
3101003,,2809939251.6399984
3101102,,4091406939.4000053
3101201,,592239823.8400006
3101300,,451852423.98000014
3101409,,1249452191.1599998
3101508,,2601658089.600001
3101607,,8712167127.260015
3101631,,1540361700.0
3101706,,4872616027.470003
3101805,,1318604538.4899983
3101904,,4149197535.4700036
3102001,,1167865464.8500006
3102050,,859649432.2400026
3102100,,871519270.6500008
3102209,,1361179140.7599976
3102308,,3263266217.7699986
3102407,,3096661611.7200017
3102506,,587624272.5200002
3102605,,4188773601.5800076
3102704,,2399763833.210002
3102803,,983161919.6399992
3102852,,2326582582.1800056
3102902,,2282624386.6400003
3103009,,1856543618.3600016
3103108,,801804192.9999985
3103207,,1044181125.6300005
3103306,,395346540.45999944
3103405,,4417851238.499996
3103504,,14359442801.299847
3103603,,507311171.38999975
3103702,,2112176801.8699994
3103751,,5896792002.659988
3103801,,1424817800.3500013
3103900,,1296246684.0800002
3104007,,34127248499.30001
3104106,,3329299539.7599945
3104205,,3367000659.229998
3104304,,3035843773.0900035
3104403,,436311733.1899994
3104452,,1867963723.7299993
3104502,,4303918667.050014
3104601,,1078870878.680001
3104700,,1685480442.2799983
3104809,,698015826.9099996
3104908,,1688888453.6800013
3105004,,1068478439.7400019
3105103,,3053430176.660002
3105202,,1463892377.3600025
3105301,,731555762.249999
3105400,,4431559008.519997
3105509,,843920574.8
3105608,,13266518158.470009
3105707,,924061308.1399994
3105905,,3884150401.219986
3106002,,1768917310.3299994
3106101,,662000180.6200007
3106200,,434061808001.1902
3106309,,4673202436.049995
3106408,,4319364757.519998
3106507,,2561968806.2700024
3106606,,1043401266.0599986
3106655,,1320218934.429999
3106705,,74060454805.15015
3106804,,554674954.2200004
3106903,,1029899877.2400002
3107000,,2248574102.000002
3107109,,4998300508.339996
3107208,,472436539.36000055
3107307,,11178946973.600058
3107406,,5581262656.800002
3107505,,669784952.0199997
3107604,,1905250221.1300015
3107703,,1726541571.7199986
3107802,,3276579986.170006
3107901,,2536244584.239998
3108008,,3558216729.78001
3108107,,1932405247.1700037
3108206,,1763024036.4
3108255,,2774191797.840002
3108305,,3444846360.5600033
3108404,,1123341616.18
3108503,,1851921467.5299988
3108552,,2259936760.5600038
3108602,,9451987741.85001
3108701,,798434831.6800003
3108800,,690813186.0600003
3108909,,3467004037.699996
3109006,,15221483783.209988
3109105,,2976812472.630001
3109204,,1581989001.4299998
3109253,,2319313019.799999
3109303,,7539986901.29998
3109402,,2750830394.409996
3109451,,1933858799.0500011
3109501,,2586758807.289997
3109600,,1037636561.5500013
3109709,,2318372347.599999
3109808,,1099470791.6199996
3109907,,1560814585.5199986
3110004,,3184837705.7900105
3110103,,1173016778.9299998
3110202,,586823527.7499993
3110301,,1883661095.1000006
3110400,,839125399.6600006
3110509,,3108744827.930002
3110608,,7966253565.639989
3110707,,1319288159.5600011
3110806,,1106976738.019999
3110905,,4057941644.2100005
3111002,,2436221515.0999994
3111101,,2064443895.6400013
3111150,,1736759162.5199978
3111200,,6006060781.500002
3111309,,2518313884.6099987
3111408,,3441644590.449991
3111507,,2646549742.4399962
3111606,,2532643716.3700004
3111705,,610472530.8900003
3111804,,1313815361.4600005
3111903,,2534212279.100002
3112000,,2704057862.8799973
3112059,,1379859933.1399992
3112109,,1523016425.2299955
3112208,,1048535475.240001
3112307,,6851988895.540005
3112406,,1815585842.5400019
3112505,,1354072025.7899983
3112604,,2440670892.339996
3112653,,788845809.7700007
3112703,,1385042269.319999
3112802,,5203314307.330007
3112901,,2055101079.700004
3113008,,3172750029.8600006
3113107,,1496596982.4199998
3113206,,5722670741.040019
3113305,,6338924394.369999
3113404,,7973105041.580009
3113503,,1741603589.8100014
3113602,,1814373117.899997
3113701,,2107009441.0299995
3113800,,900403181.9800003
3113909,,2583414526.3500013
3114006,,2090003082.659995
3114105,,1264350000.2699983
3114204,,2356047908.359997
3114303,,7536628923.080006
3114402,,2034809260.9800014
3114501,,1878689754.5000012
3114550,,1737555521.1000013
3114600,,1887325197.8399992
3114709,,1736979479.2200022
3114808,,563144240.81
3114907,,1403401934.6200013
3115003,,1808492702.8300028
3115102,,4334390997.129999
3115201,,1149297002.2199996
3115300,,1413807063.6800008
3115359,,3690025333.300001
3115409,,639101362.4900006
3115458,,1592305730.7599988
3115474,,1915629714.7600033
3115508,,1774959884.6
3115607,,1462991201.9599977
3115706,,1522492813.720002
3115805,,3215532704.240004
3115904,,558546499.6000007
3116001,,1036282425.5799987
3116100,,3071874340.380003
3116159,,3785279778.920005
3116209,,1328905946.3800018
3116308,,496897444.49999964
3116407,,2248278146.73
3116506,,774479617.0900012
3116605,,2489588151.660003
3116704,,734908940.8499978
3116803,,2020783178.8200002
3116902,,694020540.6000011
3117009,,1561344149.7999823
3117108,,814973960.24
3117207,,1134958716.9900022
3117306,,7885273244.200007
3117405,,1804408050.6099973
3117504,,9895950749.479996
3117603,,2774863160.0
3117702,,2422944958.420003
3117801,,2393951279.7799997
3117836,,1496887482.4199967
3117876,,3067771399.629999
3117900,,2194177648.3900013
3118007,,16365765839.919994
3118106,,923087647.3199987
3118205,,1281628358.8099997
3118304,,7456121341.640022
3118403,,2643696946.3499994
3118502,,1038613647.2099993
3118601,,11531520867.730003
3118700,,1578071515.610002
3118809,,5519101295.999991
3118908,,1150904572.8300033
3119005,,1196910810.4300003
3119104,,3606112278.609991
3119203,,2130810315.3599958
3119302,,7350597585.159996
3119401,,10691666831.420025
3119500,,910709883.24
3119609,,447712267.53999966
3119708,,1519538265.329999
3119807,,1332823175.7199998
3119906,,1283870239.4399989
3119955,,2186732358.0300035
3120003,,2254911809.4599953
3120102,,1728985908.8000002
3120151,,723606855.1100004
3120201,,2583992539.1099963
3120300,,663009284.3600001
3120409,,1073975865.4499974
3120508,,819707999.9999996
3120607,,977710874.6000005
3120706,,988146603.8499997
3120805,,1344704842.8600008
3120839,,1123581500.3099988
3120870,,2156856125.889999
3120904,,10571397990.520006
3121001,,1940106857.5800023
