,cod_ibge,subfuncao,an_referencia,total,total_percent
0,3113503,031,,6917000.0,0.003971627091532697
1,3144607,391,,4832462.77,0.0019064644986269079
2,3129608,608,,658000.0,0.0003263664059021935
3,3121605,782,,11287206.740000004,0.0018958504462295255
4,3103702,782,,13262141.959999997,0.006278897651114463
5,3108602,364,,3954918.4399999995,0.0004184218756959491
6,3116803,272,,14550511.650000002,0.007200431893191288
7,3115458,452,,21486076.490000002,0.013493687848341044
8,3124203,365,,95807439.92999995,0.02442670322212677
9,3114006,364,,13466.880000000001,6.443473749742222e-06
10,3135100,511,,2032000.0,0.00010792101081320387
11,3111606,,,1518774119.04,0.5996793426660249
12,3160009,812,,4411206.0,0.00434644759039467
13,3104403,122,,45325120.399999976,0.10388242385464884
14,3104403,301,,64511250.26,0.14785586852854005
15,3137809,542,,165000.0,4.790762428471661e-05
16,3142502,121,,1915719.0,0.0026516704864392457
17,3163300,361,,36566688.74,0.03087216478047828
18,3135506,243,,5502205.300000001,0.0024961384293225573
19,3139904,123,,17680394.959999997,0.016993154009072628
20,3147105,997,,550000.0,3.0910037643634704e-05
21,3146701,606,,2500000.0,0.001514865011045587
22,3122454,129,,1102074.64,0.0003861546285917051
23,3110004,306,,8479890.32,0.002662581614310715
24,3132701,605,,3432060.24,0.0008160080320027461
25,3128105,452,,6235098.12,0.0031527572578281533
26,3160900,331,,2654400.0,0.0013482362262764635
27,3120706,272,,25190000.0,0.025492168775215297
28,3140407,241,,296200.0,0.00024008348154289102
29,3165206,304,,619408.76,0.0008604625687360094
30,3164605,301,,55738623.71999998,0.04323243464936077
31,3133808,305,,30111125.95,0.0026994099456384554
32,3130606,722,,997200.0,0.0005184723799786959
33,3102308,782,,25894227.470000006,0.007935064362507087
34,3107406,997,,3150000.0,0.0005643884177645998
35,3147709,306,,1043760.0,0.00046812400692330524
36,3136009,127,,35700.0,1.46285115718088e-05
37,3139805,244,,16068610.87,0.01869503238903717
38,3123403,122,,63456231.77999999,0.07150029720807571
39,3134905,811,,0.0,0.0
40,3165206,695,,2725296.92,0.003785894129672197
41,3127305,482,,2769000.0,0.0020879907113577375
42,3146404,999,,4421422.199999999,0.0022287840242231956
43,3165305,364,,2850000.0,0.0018227424362733497
44,3101508,302,,227013740.10999995,0.08725733062983031
45,3158409,812,,3930196.4799999995,0.007929426335067545
46,3101805,752,,6784854.0,0.005145480545493711
47,3136579,301,,49699507.71000001,0.027480698518484337
48,3137601,031,,172470013.04000002,0.016523251121322063
49,3145802,131,,407797.0,0.0003688822155298727
50,3116704,241,,73310.02,9.97538823180045e-05
51,3135308,303,,5031988.859999999,0.002626215240855442
52,3137007,782,,39155280.19999999,0.014248774887635573
53,3147402,305,,18330400.390000004,0.006147558314619042
54,3132701,606,,10805104.16,0.002569025939121128
55,3136603,121,,2728415.0,0.0014251210231494092
56,3101102,124,,991823.7999999999,0.00024241631660952513
57,3102209,,,930455295.1999999,0.6835656434468219
58,3120706,695,,221997.95,0.00022466094518268386
59,3140902,302,,20356790.4,0.005163171113622097
60,3161908,511,,5691000.0,0.00038363577282532794
61,3120805,451,,14923685.839999998,0.011098112659622305
62,3120839,364,,4557392.8100000005,0.004056130159443356
63,3100807,031,,10499000.0,0.004142904715041711
64,3104908,304,,4553980.2299999995,0.0026964363573432635
65,3122702,241,,402250.0,0.00024901634086433867
66,3123528,361,,108668684.05999997,0.07005981001662756
67,3136900,843,,9899800.0,0.003393658503302358
68,3114550,365,,24694524.099999998,0.014212221595294137
69,3162807,123,,19880863.619999994,0.004595343190828609
70,3117306,181,,2806600.0,0.00035592932712438184
71,3111408,999,,3930220.0,0.0011419598673569394
72,3111309,609,,88040.0,3.495989937474947e-05
73,3127354,181,,479827.76,0.00032363549942208633
74,3122470,362,,325930.0,0.0004039477270879227
75,3143203,304,,4225846.6000000015,0.0008236727565961876
76,3140100,,,977513746.6600003,0.6639776774007665
77,3131703,122,,2683542611.4,0.1348947097114444
78,3112703,366,,1438873.48,0.0010388661139608612
79,3135704,606,,8721370.350000001,0.007243470627013263
80,3107901,031,,11465409.56,0.004520624560913822
81,3162252,302,,9554014.520000001,0.00504061102643972
82,3127800,305,,5359783.490000002,0.0012267709975860358
83,3145604,812,,5329358.4,0.0011653326096100456
84,3123007,241,,12408.48,5.8230783158730525e-06
85,3127909,691,,6140.200000000001,4.724992463698188e-06
86,3113701,364,,3242729.1999999997,0.0015390197769663575
87,3106309,451,,230505432.86999995,0.04932494066420835
88,3145455,605,,3889318.4000000004,0.0015818728992732704
89,3142106,811,,6649916.16,0.0057022989578679965
90,3114550,482,,4301742.52,0.002475743921711738
91,3137007,031,,10008004.97,0.003641956057100775
92,3108008,123,,11928748.319999998,0.003352451305218135
93,3141504,243,,1749954.2000000002,0.0023139517298580575
94,3101300,606,,4981574.34,0.011024781711075857
95,3128907,303,,4265187.530000001,0.0015372174247480278
96,3109451,846,,6859720.83,0.0035471673699081882
97,3129707,301,,76595997.68,0.021899949790209233
98,3148400,364,,25200.889999999992,2.1623425018738224e-05
99,3102605,573,,829432.1199999999,0.0001980131176550429
100,3110707,846,,4377011.640000001,0.0033177070591308786
101,3106309,999,,9900000.0,0.002118461619301888
102,3134509,609,,660000.0,0.00046657607293093176
103,3142502,182,,3600.0,4.982992678561565e-06
104,3127404,752,,2979211.5,0.0026211379076777905
105,3142254,,,1524747814.6900027,0.8289005844186134
106,3132107,062,,1983514.9600000002,0.0003561004817422991
107,3134004,482,,2553150.840000001,0.0007745355622008798
108,3164209,272,,30349158.640000004,0.023040875385666782
109,3161304,691,,1222425.8399999999,0.0008211637237196791
110,3124708,997,,70000.0,0.00011906759598815346
111,3142007,302,,69818388.58999997,0.02063938417271671
112,3139409,153,,197888.76,2.0381350723517008e-05
113,3114907,752,,559102.8,0.00039839107115908893
114,3119302,126,,6279818.319999999,0.0008543275900014203
115,3130606,061,,457520.92000000004,0.00023787801873490028
116,3126109,843,,23981030.290000007,0.0035864197032907993
117,3121803,305,,5223213.749999999,0.0024715569103665215
118,3123528,511,,2018311.13,0.0013012257905338337
119,3114303,303,,30690272.039999988,0.004072148483523552
120,3103751,367,,517000.0,8.767478991403903e-05
121,3122207,243,,1437614.5399999998,0.0012515630486569069
122,3138658,366,,623959.4,0.00025896415544871215
123,3138104,061,,2554024.28,0.0011487010365113194
124,3102803,271,,5528299.2,0.005622979378640171
125,3130903,241,,543000.0,8.916566295884515e-05
126,3141207,813,,2325749.5799999996,0.0009177406325353158
127,3146503,451,,25714274.88,0.012982486876446056
128,3100500,305,,813757.28,0.00036250917281262636
129,3107109,364,,873763.6399999999,0.00017481214635696018
130,3161650,242,,383900.0,0.0003129342539004132
131,3108107,366,,265362.80000000005,0.00013732254162972406
132,3114402,695,,8108007.960000001,0.003984652574313052
133,3120607,606,,2078776.7000000002,0.002126167105229822
134,3146552,541,,499000.0,0.0002320017801691675
135,3121258,361,,110039558.16,0.033083589360978674
136,3107000,121,,4169205.72,0.001854155358407662
137,3161403,451,,7389495.52,0.00641127383498471
